title:club, start timestamp:1605155868.575203, stop timestamp:1605155936.726874, headset type:EPOCPLUS, headset serial:3B9AEC95, headset firmware:625, channels:108, sampling rate:eeg_128;pow_8, samples:8651      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1605155868.575203,12.000000,0.000000,4139.358887,4156.025879,3949.230713,4072.692383,4062.948730,4179.102539,4163.717773,4172.051270,4264.230957,4182.307617,4164.487305,4143.205078,4183.974121,4165.000000,11988.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.583185,13.000000,0.000000,4132.692383,4171.410156,3949.102539,4079.871826,4059.871826,4182.307617,4169.615234,4171.794922,4257.051270,4181.025879,4172.948730,4133.717773,4194.358887,4164.615234,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.591067,14.000000,0.000000,4155.641113,4171.282227,3961.025635,4095.384521,4049.230713,4182.179688,4168.846191,4169.615234,4252.051270,4172.436035,4184.487305,4130.769043,4201.410156,4158.205078,2824.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.599050,15.000000,0.000000,4172.563965,4160.256348,3964.743652,4094.615479,4037.435791,4185.000000,4168.333496,4170.769043,4257.179688,4171.794922,4200.641113,4141.922852,4195.512695,4158.589844,2740.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.606932,16.000000,0.000000,4153.077148,4162.179688,3953.076904,4076.025635,4033.205078,4177.820313,4167.307617,4173.717773,4261.282227,4184.230957,4192.436035,4147.948730,4187.307617,4162.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.614914,17.000000,0.000000,4135.897461,4167.820313,3942.820557,4064.230713,4029.358887,4168.846191,4164.102539,4173.974121,4256.666504,4189.615234,4151.025879,4138.717773,4185.384766,4153.077148,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.622797,18.000000,0.000000,4144.358887,4162.307617,3945.897461,4076.538574,4013.333252,4172.692383,4162.307617,4171.025879,4253.974121,4179.487305,4131.153809,4132.948730,4184.871582,4146.794922,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.630779,19.000000,0.000000,4154.230957,4168.846191,3957.564209,4095.897461,3998.846191,4173.589844,4160.384766,4169.102539,4258.077148,4170.769043,4152.051270,4144.743652,4172.948730,4160.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,18.480797,3.711298,2.796759,2.217417,0.773391,3.719667,1.681157,1.074863,0.554104,1.174944,13.346479,5.223090,1.217550,0.662276,0.263608,1.377148,2.021219,1.028952,0.359719,0.663844,4.971040,0.641929,0.308714,0.300512,0.223148,1.015934,0.483519,0.124208,0.178964,0.128808,0.541996,0.245196,0.126598,0.130630,0.171722,0.433306,0.050135,0.118442,0.208190,0.119469,0.140809,0.113521,0.139627,0.131552,0.164313,2.192316,1.009275,1.800177,1.983394,0.887935,40.315720,19.530844,14.823856,8.982234,5.816546,2.437404,0.230858,0.795606,0.486839,0.366584,1.287536,0.886639,1.341142,1.615101,1.241263,2.531523,0.678393,0.821864,0.644353,0.645757
1605155868.638661,20.000000,0.000000,4152.948730,4182.179688,3965.000000,4098.333496,4000.897461,4168.461426,4165.897461,4172.692383,4260.769043,4179.743652,4188.333496,4161.410156,4168.717773,4169.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605155868.646643,21.000000,0.000000,4153.077148,4170.641113,3963.718018,4090.000000,4001.538574,4166.153809,4167.436035,4173.717773,4262.820313,4196.538574,4204.102539,4166.794922,4183.205078,4174.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
