title:club, start timestamp:1605176516.924479, stop timestamp:1605176577.571304, headset type:EPOCPLUS, headset serial:3B9AEC95, headset firmware:625, channels:108, sampling rate:eeg_128;pow_8, samples:7698      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1605176516.924479,80.000000,0.000000,4218.589844,4231.282227,4218.077148,4227.563965,4197.051270,4212.051270,4222.820313,4218.589844,4183.589844,4273.589844,4167.948730,4165.897461,4234.487305,4179.871582,2175.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.932460,81.000000,0.000000,4226.282227,4241.282227,4222.051270,4238.589844,4197.307617,4216.025879,4228.846191,4224.487305,4185.641113,4275.128418,4175.256348,4167.692383,4239.871582,4180.897461,2344.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.940342,82.000000,0.000000,4220.512695,4231.025879,4215.384766,4229.358887,4195.128418,4204.615234,4221.282227,4218.077148,4187.692383,4274.743652,4177.563965,4166.666504,4230.641113,4174.487305,3363.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.948324,83.000000,0.000000,4208.717773,4215.769043,4206.282227,4207.692383,4196.025879,4196.794922,4210.897461,4212.179688,4184.230957,4267.179688,4173.077148,4164.743652,4218.333496,4170.641113,2829.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.956206,84.000000,0.000000,4213.333496,4217.820313,4208.717773,4206.153809,4195.384766,4203.077148,4218.846191,4225.000000,4183.461426,4262.436035,4177.051270,4168.974121,4223.333496,4175.769043,2175.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.964188,85.000000,0.000000,4224.358887,4225.897461,4214.230957,4220.897461,4189.743652,4209.358887,4227.051270,4230.384766,4190.000000,4274.743652,4182.948730,4169.871582,4230.256348,4177.307617,2344.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.972070,86.000000,0.000000,4227.692383,4232.307617,4219.871582,4233.333496,4185.769043,4205.256348,4223.205078,4223.205078,4192.307617,4283.846191,4186.153809,4170.256348,4233.205078,4177.436035,3363.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.979852,87.000000,0.000000,4226.794922,4236.025879,4225.512695,4237.051270,4189.102539,4196.282227,4223.717773,4225.000000,4188.974121,4277.948730,4187.436035,4170.512695,4232.179688,4180.256348,2829.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176516.987733,88.000000,0.000000,4221.153809,4227.563965,4216.025879,4225.256348,4197.179688,4200.256348,4224.230957,4222.179688,4186.410156,4270.769043,4184.487305,4163.461426,4221.794922,4176.153809,2175.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.033562,0.553777,0.867236,0.457222,0.512605,1.516952,0.846804,1.705336,0.765522,0.878451,1.073612,0.465662,0.982390,0.541353,0.891540,0.581936,0.578987,1.572913,1.267442,1.717990,0.338036,0.115226,0.078322,0.131846,0.087554,0.723323,0.258736,0.327144,0.484415,0.841377,1.994541,0.840331,1.133132,0.848905,1.311812,1.984065,0.903139,1.248285,0.584895,0.777265,0.490739,0.084455,0.253492,0.123440,0.118179,5.823340,1.081650,3.447857,1.585201,1.651655,1.435665,0.346826,0.793333,0.335616,0.438011,1.585198,0.576321,0.412112,0.263691,0.363393,2.574658,0.803673,0.942548,0.555809,0.707836,1.421353,0.806623,0.569219,0.301049,0.429016
1605176516.995515,89.000000,0.000000,4217.051270,4223.717773,4204.871582,4212.820313,4202.948730,4207.820313,4216.666504,4209.743652,4185.128418,4265.897461,4182.692383,4160.641113,4220.641113,4173.077148,2344.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
